"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal","size=10000","10.41155","13.114038","2.702488","25.96","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly","size=1000","0.004382","0.004217","-0.000165","-3.76","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly","size=10000","0.004271","0.004132","-0.000138","-3.24","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseOnly|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead","size=1000","0.000171","0.000168","-3E-06","-1.62","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead","size=10000","0.000184","0.000167","-1.7E-05","-9.44","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.sqlLikeCacheSnapshotRead|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics","size=1000","0.068535","0.064663","-0.003872","-5.65","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics","size=10000","0.608626","0.552602","-0.056024","-9.21","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain","size=1000","0.000765","0.000721","-4.5E-05","-5.83","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain","size=10000","0.000797","0.000807","1E-05","1.26","slower","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart","size=1000","0.066853","0.061191","-0.005662","-8.47","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart","size=10000","0.635235","0.530551","-0.104684","-16.48","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentGroupedMetricsToChart|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics","size=1000","0.139476","0.127322","-0.012154","-8.71","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics","size=10000","1.361568","1.267978","-0.09359","-6.87","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","size=1000","0.125584","0.121165","-0.004419","-3.52","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart","size=10000","1.226712","1.133883","-0.09283","-7.57","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.fluentTimeBucketMetricsToChart|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain","size=1000","0.003039","0.002328","-0.000711","-23.4","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain","size=10000","0.002588","0.002277","-0.000311","-12","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeGroupedMetricsExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics","size=1000","0.106642","0.094294","-0.012347","-11.58","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics","size=10000","0.719847","0.648219","-0.071628","-9.95","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetrics|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart","size=1000","0.101612","0.092496","-0.009117","-8.97","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart","size=10000","0.673188","0.60784","-0.065349","-9.71","faster","core|laughing.man.commits.benchmark.StatsQueryJmhBenchmark.sqlLikeParseAndGroupedMetricsToChart|size=10000|avgt|ms/op"
